Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
4641599,04/20/2016,1930,06,Hollywood,0667,24,M,W,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,SANTA MONICA,BRONSON
4807067,10/14/2016,1300,20,Olympic,2081,24,M,W,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,1800 S  WESTERN                      AV,
4807076,10/14/2016,1300,20,Olympic,2081,38,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,1800 S  WESTERN                      AV,
4807102,10/14/2016,1300,20,Olympic,2081,28,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,1800 S  WESTERN                      AV,
4807111,10/14/2016,1300,20,Olympic,2081,23,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,1800 S  WESTERN                      AV,
4807133,10/14/2016,1300,20,Olympic,2081,24,M,H,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,1800    WESTERN,
4807937,10/15/2016,1850,12,77th Street,1241,23,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,8TH                          AV,67TH                         ST
4810023,10/18/2016,1140,10,West Valley,1067,33,M,H,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,CLARK,BALBOA
4810325,10/18/2016,1840,07,Wilshire,0706,60,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,SYCAMORE,ROMAINE
4810984,10/19/2016,1530,03,Southwest,0379,28,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,VERMONT                      BL,EXPOSITION                   BL
